datetime,close,high,low,open,signals
2019-12-03 18:00:00,147.66,148.5,147.51,148.09,1.0
2019-12-03 20:00:00,147.67,148.0,147.03,147.7,1.0
2019-12-03 22:00:00,147.1,147.99,146.99,147.67,1.0
2019-12-04 00:00:00,144.66,147.16,143.03,147.12,1.0
2019-12-04 02:00:00,144.57,145.1,143.88,144.61,1.0
2019-12-04 04:00:00,143.6,144.74,143.6,144.5,1.0
2019-12-04 06:00:00,144.02,144.59,142.96,143.59,1.0
2019-12-04 08:00:00,145.37,145.79,143.3,144.07,1.0
2019-12-04 10:00:00,145.49,146.4,145.12,145.37,1.0
2019-12-04 12:00:00,149.98,152.22,145.45,145.45,1.0
2019-12-04 14:00:00,149.01,150.51,148.54,149.91,1.0
2019-12-04 16:00:00,149.28,149.61,148.88,149.0,1.0
2019-12-04 18:00:00,149.62,149.65,149.04,149.26,1.0
2019-12-04 20:00:00,145.06,149.93,144.25,149.62,1.0
2019-12-04 22:00:00,145.35,146.18,144.54,145.07,1.0
2019-12-05 00:00:00,145.65,145.97,145.01,145.36,1.0
2019-12-05 02:00:00,144.91,145.65,143.77,145.65,1.0
2019-12-05 04:00:00,145.69,146.58,143.81,144.93,1.0
2019-12-05 06:00:00,145.61,146.07,145.1,145.67,1.0
2019-12-05 08:00:00,145.73,146.8,145.31,145.63,1.0
2019-12-05 10:00:00,146.48,146.96,145.72,145.77,1.0
2019-12-05 12:00:00,147.59,148.88,146.48,146.48,1.0
2019-12-05 14:00:00,146.97,147.86,146.53,147.57,1.0
2019-12-05 16:00:00,147.28,147.43,146.34,147.0,1.0
2019-12-05 18:00:00,147.56,147.91,146.76,147.28,1.0
2019-12-05 20:00:00,147.76,148.53,147.35,147.56,1.0
2019-12-05 22:00:00,148.04,148.44,147.42,147.8,1.0
2019-12-06 00:00:00,147.78,148.25,146.82,148.08,1.0
2019-12-06 02:00:00,147.23,148.28,147.07,147.78,1.0
2019-12-06 04:00:00,147.42,147.79,147.0,147.26,1.0
2019-12-06 06:00:00,147.67,147.74,146.97,147.43,1.0
2019-12-06 08:00:00,147.16,147.72,145.66,147.67,1.0
2019-12-06 16:00:00,148.31,149.5,146.84,147.13,1.0
2019-12-06 18:00:00,148.04,148.76,147.62,148.25,1.0
2019-12-06 20:00:00,148.0,148.2,147.72,148.07,1.0
2019-12-06 22:00:00,148.41,148.77,147.7,148.0,1.0
2019-12-08 12:00:00,148.52,148.99,147.73,148.0,1.0
2019-12-08 14:00:00,150.62,156.25,148.13,148.52,1.0
2019-12-08 16:00:00,150.72,150.99,149.85,150.62,1.0
2019-12-08 18:00:00,150.37,151.5,150.1,150.7,1.0
2019-12-08 20:00:00,150.63,150.92,150.11,150.37,1.0
2019-12-10 10:00:00,147.2,147.42,146.95,146.95,1.0
2019-12-10 12:00:00,146.96,147.3,146.77,147.17,1.0
2019-12-10 14:00:00,145.1,147.35,144.13,146.96,1.0
2019-12-10 16:00:00,144.53,145.75,144.51,145.13,1.0
2019-12-10 18:00:00,144.87,144.99,144.3,144.65,1.0
2019-12-10 20:00:00,144.94,145.3,143.78,144.88,1.0
2019-12-10 22:00:00,145.55,145.89,144.98,144.98,1.0
2019-12-11 00:00:00,146.07,146.27,145.52,145.52,1.0
2019-12-11 02:00:00,145.52,146.27,145.07,146.05,1.0
2019-12-11 04:00:00,144.89,145.77,144.79,145.52,1.0
2019-12-11 06:00:00,145.63,145.77,144.76,144.89,1.0
2019-12-11 08:00:00,145.8,146.12,145.59,145.65,1.0
2019-12-11 10:00:00,145.55,145.83,145.28,145.8,1.0
2019-12-11 12:00:00,145.45,146.14,145.23,145.55,1.0
2019-12-11 14:00:00,142.77,145.71,142.02,145.45,1.0
2019-12-11 16:00:00,142.76,142.87,142.74,142.83,1.0
2019-12-11 18:00:00,142.76,143.33,142.5,143.24,1.0
2019-12-11 20:00:00,142.84,142.84,142.44,142.75,1.0
2019-12-11 22:00:00,143.35,143.38,142.56,142.84,1.0
2019-12-12 00:00:00,140.64,144.08,139.05,143.36,1.0
2019-12-12 02:00:00,142.1,142.51,140.37,140.56,1.0
2019-12-12 04:00:00,142.26,142.64,141.53,142.04,1.0
2019-12-12 06:00:00,141.94,142.46,141.85,142.28,1.0
2019-12-12 08:00:00,143.27,143.7,141.07,141.95,1.0
2019-12-12 10:00:00,144.11,144.5,142.95,143.27,1.0
2019-12-12 12:00:00,144.05,144.98,143.58,144.11,1.0
2019-12-12 14:00:00,143.72,144.57,141.74,144.06,1.0
2019-12-12 16:00:00,143.87,144.57,143.37,143.72,1.0
2019-12-12 18:00:00,145.01,145.48,143.72,143.89,1.0
2019-12-12 20:00:00,144.74,145.8,144.51,145.01,1.0
2019-12-12 22:00:00,144.8,145.03,144.46,144.71,1.0
